,name,artist,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence
0,Happier,Ed Sheeran,0.536,0.522,0.385,0.0,0.135,-7.355,0.0288,0.236
1,Skinny Love,Birdy,0.952,0.379,0.29,0.00106,0.118,-8.485,0.051,0.169
2,Not About Angels,Birdy,0.964,0.405,0.111,4.37e-05,0.0872,-11.879,0.0369,0.219
3,Tell Me That You Love Me,James Smith,0.402,0.536,0.317,0.0,0.11,-8.752,0.0359,0.319
4,Be Alright,Dean Lewis,0.697,0.553,0.586,0.0,0.0813,-6.319,0.0362,0.443
5,Supermarket Flowers,Ed Sheeran,0.914,0.589,0.242,0.0,0.0887,-10.517,0.0442,0.257
6,better off,Jeremy Zucker,0.803,0.72,0.316,0.00016,0.154,-12.532,0.0414,0.442
7,You're Gonna Break My Heart Tonight,Tom Odell,0.784,0.287,0.292,0.000723,0.0879,-8.32,0.028,0.142
8,One More Light,Linkin Park,0.904,0.593,0.2,0.0,0.0897,-11.063,0.0311,0.17
9,If I'm Being Honest,dodie,0.919,0.435,0.191,0.033,0.114,-12.436,0.0396,0.193
10,Let It Go,James Bay,0.818,0.546,0.311,1.65e-05,0.107,-10.396,0.0288,0.246
11,Simple Song,Passenger,0.616,0.631,0.402,0.0114,0.0892,-11.125,0.0286,0.598
12,Fix You,Coldplay,0.164,0.209,0.417,0.00196,0.113,-8.74,0.0338,0.124
13,All I Want,Kodaline,0.114,0.189,0.426,0.0885,0.058,-9.084,0.045,0.159
14,Somebody Else,The 1975,0.195,0.61,0.788,0.0142,0.153,-5.724,0.0585,0.472
15,Dancing On My Own,Calum Scott,0.851,0.608,0.174,1.92e-05,0.0855,-8.796,0.0332,0.193
16,Slow It Down,The Lumineers,0.928,0.423,0.0657,1.4e-06,0.0922,-14.421,0.0386,0.105
17,I Took A Pill In Ibiza,Mike Posner,0.618,0.636,0.319,1.7e-06,0.125,-10.065,0.0718,0.378
18,You & I,One Direction,0.22,0.574,0.329,0.0,0.0986,-6.829,0.0274,0.356
19,Oblivion,Bastille,0.758,0.441,0.324,1.69e-06,0.448,-8.788,0.03,0.215
20,Don't Be A Fool,Shawn Mendes,0.619,0.467,0.329,0.0,0.0924,-5.964,0.0402,0.277
21,See You Again,Elle King,0.857,0.572,0.0602,0.000199,0.108,-15.686,0.0483,0.157
22,Nana,The 1975,0.781,0.681,0.283,0.00371,0.114,-11.496,0.0296,0.221
23,The Night We Met (feat. Phoebe Bridgers),Selena Gomez,0.962,0.424,0.437,0.336,0.664,-8.588,0.0355,0.131
24,How to Save a Life,The Fray,0.269,0.64,0.743,0.0,0.101,-4.08,0.0379,0.361
25,You Found Me,The Fray,0.0187,0.338,0.803,0.0,0.136,-5.412,0.0413,0.4
26,Chasing Cars,Snow Patrol,0.209,0.563,0.592,5.08e-05,0.132,-4.571,0.0276,0.136
27,Good Years,ZAYN,0.55,0.638,0.411,0.0,0.141,-5.979,0.042,0.158
28,Slow Dancing in a Burning Room,John Mayer,0.575,0.667,0.361,0.00506,0.0805,-8.69,0.0273,0.29
29,Lost Boy,Ruth B.,0.965,0.71,0.0565,0.0,0.0889,-15.099,0.0534,0.348
30,Everglow,Coldplay,0.968,0.425,0.257,0.0181,0.115,-8.467,0.0321,0.341
31,I Love You,Alex & Sierra,0.658,0.525,0.439,0.0,0.0636,-6.596,0.0259,0.238
32,Lost Stars,Adam Levine,0.105,0.498,0.583,0.0,0.0698,-4.762,0.0274,0.4
33,No Right To Love You - Acoustic,Rhys Lewis,0.866,0.531,0.269,0.0,0.116,-10.6,0.0406,0.52
34,Be Your Man - Acoustic,Rhys Lewis,0.887,0.65,0.197,0.0,0.107,-10.998,0.0554,0.354
35,Reason To Hate You,Rhys Lewis,0.91,0.57,0.214,0.0,0.146,-9.735,0.141,0.308
36,the broken hearts club,Garrett Nash,0.801,0.62,0.288,0.0,0.344,-9.431,0.123,0.691
37,dear insecurity (feat. ben abraham),Garrett Nash,0.519,0.688,0.348,0.0,0.341,-8.227,0.149,0.58
38,idfc,blackbear,0.611,0.63,0.5,4.04e-05,0.114,-8.755,0.0611,0.315
39,Everywhere I Go,Sleeping At Last,0.953,0.259,0.116,4.41e-06,0.0861,-12.689,0.0388,0.178
40,thinking 2 much,Jeremy Zucker,0.784,0.669,0.37,7.41e-06,0.0997,-11.845,0.0492,0.511
41,talk is overrated (stripped.),Jeremy Zucker,0.813,0.574,0.236,1.14e-06,0.116,-12.833,0.0777,0.34
42,Weakness,Jeremy Zucker,0.883,0.489,0.224,2.49e-06,0.496,-11.305,0.0617,0.296
43,Chasing Fire - Stripped â€“ Live in London,Lauv,0.901,0.586,0.17,0.0,0.204,-8.012,0.0776,0.395
44,Superhero,Lauv,0.82,0.681,0.34,0.0,0.285,-8.617,0.0339,0.417
45,Wasn't Expecting That,Jamie Lawson,0.424,0.591,0.415,0.000299,0.111,-6.936,0.0437,0.197
46,Tell Me That You Love Me,James Smith,0.402,0.536,0.317,0.0,0.11,-8.752,0.0359,0.319
47,Lava (From Disney's Lava) (Originally Performed by Kuana Torres Kahele & Napua Greig),New Tribute Kings,0.955,0.413,0.212,0.0,0.0872,-15.482,0.0427,0.396
48,Missin You Crazy,Russ,0.0991,0.716,0.729,0.0,0.0842,-6.313,0.117,0.276
49,Location,Khalid,0.283,0.799,0.436,0.000105,0.0968,-9.975,0.379,0.311
50,i'm so tired...,Lauv,0.176,0.599,0.733,0.0,0.242,-7.058,0.203,0.534
51,Marry Your Daughter,BRKN RBTZ,0.163,0.518,0.311,0.0,0.108,-14.73,0.0384,0.304
52,Chasing Pavements,Adele,0.291,0.614,0.47,0.0,0.111,-6.09,0.0255,0.329
53,The Story Never Ends,Lauv,0.911,0.614,0.126,0.0,0.148,-9.403,0.0376,0.351
54,We Don't Have To Take Our Clothes Off - Remastered 2015,Ella Eyre,0.952,0.56,0.17,6.75e-06,0.107,-9.317,0.0381,0.303
55,Cough Syrup,Young the Giant,0.0343,0.534,0.721,6.24e-06,0.115,-7.307,0.0417,0.225
56,Fast Car,Michael Collings,0.387,0.841,0.434,0.0,0.0826,-9.81,0.0364,0.809
57,Jealous,Labrinth,0.874,0.439,0.153,0.0,0.107,-8.95,0.0479,0.104
58,Waves,Dean Lewis,0.161,0.517,0.762,0.0,0.0897,-5.806,0.0454,0.351
59,Lights Down Low,MAX,0.0632,0.623,0.493,0.0,0.104,-7.727,0.0338,0.594
60,Lie To Me - Recorded at Spotify Studios NYC,5 Seconds of Summer,0.911,0.6,0.293,0.0,0.123,-9.841,0.0304,0.545
61,imagine if (feat. ruth b.),Garrett Nash,0.631,0.803,0.42,0.0,0.252,-8.123,0.282,0.693
62,Obsession (feat. Jon Bellion) - Acoustic,Vice,0.363,0.667,0.683,0.0,0.312,-5.826,0.0375,0.687
63,U & Us,Quinn XCII,0.087,0.598,0.73,0.00268,0.186,-7.871,0.0423,0.264
64,I Will Follow You into the Dark,Death Cab for Cutie,0.924,0.517,0.206,0.0,0.118,-12.233,0.0421,0.489
65,Robin Hood,Anson Seabra,0.952,0.731,0.153,0.0,0.134,-14.409,0.0562,0.324
66,Older,Sasha Alex Sloan,0.732,0.628,0.298,0.0,0.116,-9.539,0.0713,0.166
67,This Town (feat. Sasha Alex Sloan),Kygo,0.506,0.736,0.449,6.63e-05,0.117,-7.956,0.0633,0.487
68,Old Friends,Ben Rector,0.132,0.469,0.403,4.71e-05,0.116,-10.047,0.0483,0.208
69,Ophelia,The Lumineers,0.613,0.664,0.573,0.000363,0.0857,-6.519,0.0277,0.566
70,Bruises,Lewis Capaldi,0.961,0.571,0.259,0.0,0.153,-9.353,0.0773,0.378
71,Yesterday - Remastered 2009,The Beatles,0.879,0.332,0.179,0.0,0.0886,-11.83,0.0326,0.315
72,Superhero,Hayd,0.87,0.614,0.13,1.38e-06,0.352,-18.943,0.0522,0.158
73,Vacant Eyes,Hayd,0.904,0.379,0.104,7.19e-06,0.0986,-20.196,0.0372,0.163
74,Sweater Weather,The Neighbourhood,0.0495,0.612,0.807,0.0177,0.101,-2.81,0.0336,0.398
75,Stormy Weather,Ed Whicher,0.554,0.713,0.444,0.0,0.313,-9.824,0.121,0.589
76,Man Overboard,Max Milner,0.293,0.573,0.571,8.74e-06,0.13,-9.395,0.0327,0.206
77,Make You Stay,Jill Baylon,0.235,0.664,0.643,0.0,0.128,-5.924,0.0812,0.351
78,WYWH,Goody Grace,0.296,0.529,0.379,0.0,0.0943,-9.994,0.0402,0.344
79,Mad at You (with Gallant),Noah Cyrus,0.818,0.359,0.421,0.0,0.153,-4.069,0.0356,0.499
80,Running Out - Live From The Studio,Astrid S,0.983,0.509,0.22,9.97e-05,0.139,-7.445,0.051,0.325
81,Sober Up,AJR,0.282,0.651,0.568,0.0,0.0862,-6.774,0.0275,0.805
82,Call My Dad,AJR,0.732,0.65,0.231,0.0,0.127,-9.133,0.196,0.367
83,n y l a,blackbear,0.818,0.268,0.336,0.0,0.354,-10.011,0.0392,0.208
84,One Day,Tate McRae,0.922,0.52,0.119,0.0,0.0883,-12.148,0.0407,0.355
85,Someone You Loved,Lewis Capaldi,0.751,0.501,0.405,0.0,0.105,-5.679,0.0319,0.446
86,You Said You'd Grow Old With Me,Michael Schulte,0.905,0.531,0.347,0.0,0.0935,-7.044,0.0345,0.289
87,Malibu Nights,LANY,0.701,0.559,0.422,1.99e-06,0.0853,-11.89,0.195,0.191
88,Lost Without You,Freya Ridings,0.932,0.386,0.136,0.0,0.0653,-9.267,0.0458,0.0976
89,Break My Heart Again,FINNEAS,0.907,0.402,0.151,0.0,0.0941,-14.227,0.0395,0.483
90,Already Gone,Sleeping At Last,0.954,0.418,0.248,4.21e-06,0.108,-9.997,0.0451,0.298
91,Champion,Elina,0.921,0.65,0.171,0.0,0.127,-9.005,0.0519,0.284
92,A Song About Being Sad,Rex Orange County,0.891,0.567,0.263,0.0,0.183,-13.51,0.103,0.247
93,Memories,Maroon 5,0.837,0.764,0.32,0.0,0.0822,-7.209,0.0546,0.575
94,If the World Was Ending (feat. Julia Michaels),JP Saxe,0.866,0.464,0.473,0.0,0.109,-10.086,0.129,0.604
95,Safe & Sound - from The Hunger Games Soundtrack,Various Artists,0.883,0.471,0.3,1.05e-05,0.0698,-10.807,0.028,0.289
96,Demons,Alec Benjamin,0.703,0.708,0.495,0.000115,0.34,-7.496,0.0364,0.761
97,Jar of Hearts,Christina Perri,0.726,0.349,0.348,0.0,0.12,-6.142,0.0316,0.0886
98,arms,Christina Perri,0.11,0.463,0.755,4.89e-06,0.103,-7.244,0.0634,0.252
99,Please Notice,Christian Leave,0.843,0.55,0.271,3.21e-06,0.107,-8.451,0.0297,0.198
